"order_id","order_date","ship_mode","segment","country","city","state","postal_code","region","category","sub_category","product_id","cost_price","list_price","quantity","discount_percent","discount_price","sale_price","profit","year","month"
"1","2023-03-01 00:00:00","Second Class","Consumer","United States","Henderson","Kentucky","42420","South","Furniture","Bookcases","FUR-BO-10001798","240","260","2","2","5.2","254.8","14.800000000000011",2023,3
"2","2023-08-15 00:00:00","Second Class","Consumer","United States","Henderson","Kentucky","42420","South","Furniture","Chairs","FUR-CH-10000454","600","730","3","3","21.9","708.1","108.10000000000002",2023,8
"3","2023-01-10 00:00:00","Second Class","Corporate","United States","Los Angeles","California","90036","West","Office Supplies","Labels","OFF-LA-10000240","10","10","2","5","0.5","9.5","-0.5",2023,1
"4","2022-06-18 00:00:00","Standard Class","Consumer","United States","Fort Lauderdale","Florida","33311","South","Furniture","Tables","FUR-TA-10000577","780","960","5","2","19.2","940.8","160.79999999999995",2022,6
"5","2022-07-13 00:00:00","Standard Class","Consumer","United States","Fort Lauderdale","Florida","33311","South","Office Supplies","Storage","OFF-ST-10000760","20","20","2","5","1","19","-1",2022,7
"6","2022-03-13 00:00:00","Not Available","Consumer","United States","Los Angeles","California","90032","West","Furniture","Furnishings","FUR-FU-10001487","50","50","7","3","1.5","48.5","-1.5",2022,3
"7","2022-12-28 00:00:00","Standard Class","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Art","OFF-AR-10002833","10","10","4","3","0.3","9.7","-0.3000000000000007",2022,12
"8","2022-01-25 00:00:00","Standard Class","Consumer","United States","Los Angeles","California","90032","West","Technology","Phones","TEC-PH-10002275","860","910","6","5","45.5","864.5","4.5",2022,1
"9","2023-03-23 00:00:00","Not Available","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Binders","OFF-BI-10003910","20","20","3","2","0.4","19.6","-0.3999999999999986",2023,3
"10","2023-05-16 00:00:00","Standard Class","Consumer","United States","Los Angeles","California","90032","West","Office Supplies","Appliances","OFF-AP-10002892","90","110","5","3","3.3","106.7","16.700000000000003",2023,5
"11","2023-03-31 00:00:00","Not Available","Consumer","United States","Los Angeles","California","90032","West","Furniture","Tables","FUR-TA-10001539","1470","1710","9","3","51.3","1658.7","188.70000000000005",2023,3
"12","2023-12-25 00:00:00","Not Available","Consumer","United States","Los Angeles","California","90032","West","Technology","Phones","TEC-PH-10002033","750","910","4","3","27.3","882.7","132.70000000000005",2023,12
"13","2022-02-11 00:00:00","Standard Class","Consumer","United States","Concord","North Carolina","28027","South","Office Supplies","Paper","OFF-PA-10002365","20","20","3","3","0.6","19.4","-0.6000000000000014",2022,2
"14","2023-07-18 00:00:00","Standard Class","Consumer","United States","Seattle","Washington","98103","West","Office Supplies","Binders","OFF-BI-10003656","360","410","3","2","8.2","401.8","41.80000000000001",2023,7
"15","2023-11-09 00:00:00","unknown","Home Office","United States","Fort Worth","Texas","76106","Central","Office Supplies","Appliances","OFF-AP-10002311","60","70","5","5","3.5","66.5","6.5",2023,11
"16","2022-06-18 00:00:00","Standard Class","Home Office","United States","Fort Worth","Texas","76106","Central","Office Supplies","Binders","OFF-BI-10000756","0","0","3","5","0","0","0",2022,6
"17","2022-02-04 00:00:00","Standard Class","Consumer","United States","Madison","Wisconsin","53711","Central","Office Supplies","Storage","OFF-ST-10004186","610","670","6","3","20.099999999999998","649.9","39.89999999999998",2022,2
"18","2023-08-04 00:00:00","Second Class","Consumer","United States","West Jordan","Utah","84084","West","Office Supplies","Storage","OFF-ST-10000107","60","60","2","4","2.4","57.6","-2.3999999999999986",2023,8
"19","2022-01-23 00:00:00","Second Class","Consumer","United States","San Francisco","California","94109","West","Office Supplies","Art","OFF-AR-10003056","10","10","2","4","0.4","9.6","-0.40000000000000036",2022,1
"20","2022-01-11 00:00:00","Second Class","Consumer","United States","San Francisco","California","94109","West","Technology","Phones","TEC-PH-10001949","170","210","3","3","6.3","203.7","33.69999999999999",2022,1
"21","2022-10-05 00:00:00","Second Class","Consumer","United States","San Francisco","California","94109","West","Office Supplies","Binders","OFF-BI-10002215","20","20","4","2","0.4","19.6","-0.3999999999999986",2022,10
"22","2023-07-16 00:00:00","Standard Class","Corporate","United States","Fremont","Nebraska","68025","Central","Office Supplies","Art","OFF-AR-10000246","20","20","7","4","0.8","19.2","-0.8000000000000007",2023,7
"23","2023-05-06 00:00:00","Standard Class","Corporate","United States","Fremont","Nebraska","68025","Central","Office Supplies","Appliances","OFF-AP-10001492","50","60","7","3","1.7999999999999998","58.2","8.200000000000003",2023,5
"24","2023-05-21 00:00:00","Second Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Chairs","FUR-CH-10002774","60","70","2","4","2.8000000000000003","67.2","7.200000000000003",2023,5
"25","2023-02-24 00:00:00","Standard Class","Consumer","United States","Orem","Utah","84057","West","Furniture","Tables","FUR-TA-10000577","900","1040","3","5","52","988","88",2023,2
"26","2022-06-20 00:00:00","Second Class","Consumer","United States","Los Angeles","California","90049","West","Office Supplies","Binders","OFF-BI-10001634","10","10","2","5","0.5","9.5","-0.5",2022,6
"27","2022-02-08 00:00:00","Second Class","Consumer","United States","Los Angeles","California","90049","West","Technology","Accessories","TEC-AC-10003027","80","90","3","3","2.6999999999999997","87.3","7.299999999999997",2022,2
"28","2023-12-11 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Bookcases","FUR-BO-10004834","2740","3080","7","3","92.39999999999999","2987.6","247.5999999999999",2023,12
"29","2022-08-21 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Binders","OFF-BI-10000474","10","10","2","5","0.5","9.5","-0.5",2022,8
"30","2022-08-14 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Furniture","Furnishings","FUR-FU-10004848","100","120","3","4","4.8","115.2","15.200000000000003",2022,8
"31","2022-11-20 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Envelopes","OFF-EN-10001509","0","0","2","5","0","0","0",2022,11
"32","2023-01-19 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Art","OFF-AR-10004042","70","90","6","4","3.6","86.4","16.400000000000006",2023,1
"33","2023-01-30 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Binders","OFF-BI-10001525","10","10","6","5","0.5","9.5","-0.5",2023,1
"34","2022-06-03 00:00:00","Standard Class","Consumer","United States","Philadelphia","Pennsylvania","19140","East","Office Supplies","Art","OFF-AR-10001683","20","20","2","4","0.8","19.2","-0.8000000000000007",2022,6
"35","2022-09-28 00:00:00","Second Class","Home Office","United States","Houston","Texas","77095","Central","Office Supplies","Paper","OFF-PA-10000249","30","30","3","3","0.8999999999999999","29.1","-0.8999999999999986",2022,9
"36","2022-10-30 00:00:00","First Class","Corporate","United States","Richardson","Texas","75080","Central","Technology","Phones","TEC-PH-10004977","1020","1100","7","5","55","1045","25",2022,10
"37","2023-07-27 00:00:00","First Class","Corporate","United States","Richardson","Texas","75080","Central","Furniture","Furnishings","FUR-FU-10003664","180","190","5","4","7.6000000000000005","182.4","2.4000000000000057",2023,7
"38","2023-03-07 00:00:00","Standard Class","Home Office","United States","Houston","Texas","77041","Central","Office Supplies","Envelopes","OFF-EN-10002986","90","110","9","2","2.2","107.8","17.799999999999997",2023,3
